# Time (s), Z (m), Mach Number, Angle of Attack (°)
26.990825,4579.613590,0.101699,2.547189
27.000697,4579.610865,0.101696,2.539245
27.020442,4579.603531,0.101693,2.517037
27.040188,4579.592429,0.101694,2.494007
27.059933,4579.577559,0.101697,2.470154
27.204466,4579.353957,0.101826,2.269209
27.348999,4578.928370,0.102132,2.024214
27.493532,4578.300680,0.102612,1.736371
27.638065,4577.470725,0.103265,1.409226
27.866417,4575.746735,0.104640,0.832586
28.094768,4573.516375,0.106419,0.282183
28.323120,4570.778513,0.108581,0.562550
28.480952,4568.588911,0.110288,0.983281
28.487297,4568.496238,0.109785,0.934400
28.493642,4568.403798,0.109288,0.885495
28.506332,4568.219380,0.108303,0.787522
28.519021,4568.035873,0.107337,0.690007
28.531711,4567.853252,0.106391,0.593620
28.602841,4566.844951,0.101414,0.245818
28.673972,4565.859867,0.096933,0.719254
28.745103,4564.894706,0.092883,1.347521
28.816233,4563.946603,0.089209,2.011882
28.924621,4562.529111,0.084231,3.073582
29.033010,4561.138049,0.079889,4.186878
29.141398,4559.767292,0.076082,5.346404
29.249786,4558.411703,0.072728,6.547677
29.358174,4557.067024,0.069762,7.786245
29.538342,4554.846564,0.065552,9.915376
29.718510,4552.633401,0.062082,12.113695
29.898678,4550.417385,0.059210,14.360351
30.078845,4548.190942,0.056829,16.634137
30.259013,4545.948292,0.054855,18.914832
30.439181,4543.685070,0.053221,21.183617
30.733743,4539.932665,0.051145,24.823482
31.028304,4536.108266,0.049648,28.325031
31.322866,4532.207820,0.048591,31.643018
31.617428,4528.230727,0.047866,34.748212
31.911989,4524.178757,0.047389,37.625404
32.206551,4520.055352,0.047097,40.270525
32.702499,4512.964349,0.046886,44.213483
33.198447,4505.708790,0.046890,47.563707
33.694395,4498.314826,0.047001,50.390945
34.190343,4490.807338,0.047157,52.768140
34.686291,4483.208494,0.047319,54.763682
35.182239,4475.537438,0.047469,56.437980
35.920400,4464.019904,0.047654,58.444538
36.658562,4452.418107,0.047787,59.991822
37.396723,4440.761537,0.047874,61.186106
38.134885,4429.070607,0.047926,62.108878
38.873046,4417.359134,0.047951,62.826956
39.462095,4408.005238,0.047957,63.282818
40.051144,4398.647913,0.047954,63.654413
40.640193,4389.289604,0.047943,63.957471
41.229241,4379.931996,0.047928,64.204655
41.840851,4370.218090,0.047908,64.413967
42.452462,4360.507149,0.047885,64.583193
43.064072,4350.799880,0.047860,64.720047
44.179271,4333.110583,0.047811,64.903946
45.294471,4315.436953,0.047760,65.030430
46.409670,4297.779516,0.047708,65.116838
47.524870,4280.138391,0.047656,65.175284
49.108625,4255.114009,0.047580,65.227559
50.692381,4230.123711,0.047506,65.258335
52.276137,4205.167084,0.047432,65.276082
53.859892,4180.243742,0.047357,65.286107
54.989222,4162.492095,0.047305,65.290581
56.118551,4144.757503,0.047252,65.293539
57.247881,4127.039796,0.047200,65.295522
58.077871,4114.029024,0.047162,65.296559
58.907861,4101.027291,0.047124,65.297342
59.737852,4088.034587,0.047086,65.297931
60.749664,4072.207819,0.047039,65.298456
61.761475,4056.394383,0.046993,65.298827
62.773287,4040.594234,0.046948,65.299090
64.880358,4007.733269,0.046852,65.299418
66.987429,3974.929335,0.046758,65.299568
69.094499,3942.182036,0.046664,65.299650
73.943119,3867.039348,0.046451,65.299727
78.791739,3792.190316,0.046241,65.299689
80.003894,3773.523178,0.046188,65.348277
80.676423,3763.173875,0.046157,65.420670
81.348953,3752.830197,0.046127,65.478038
82.021482,3742.492102,0.046097,65.523366
82.698827,3732.085598,0.046067,65.559484
83.376171,3721.684718,0.046037,65.588031
84.053516,3711.289456,0.046007,65.610590
85.427894,3690.214002,0.045947,65.642381
86.802271,3669.161540,0.045886,65.662533
88.176649,3648.131966,0.045826,65.675190
89.551027,3627.125170,0.045766,65.682883
91.188412,3602.127981,0.045695,65.688411
92.825797,3577.162810,0.045624,65.691402
94.463183,3552.229488,0.045554,65.693032
96.023146,3528.504592,0.045487,65.693939
97.583109,3504.808308,0.045421,65.694481
99.143072,3481.140496,0.045355,65.694789
100.178121,3465.452336,0.045311,65.694913
105.391977,3386.613778,0.045093,65.695180
110.605832,3308.085328,0.044879,65.695131
115.819687,3229.862483,0.044667,65.695016
116.862296,3214.256880,0.044625,65.694990
117.904905,3198.663291,0.044584,65.694966
118.947513,3183.081670,0.044542,65.694945
119.864766,3169.383336,0.044505,65.650828
120.567952,3158.888102,0.044476,65.579155
121.271139,3148.398243,0.044447,65.521584
